block_date,total_transactions,failed_transactions,failure_rate_percentage
3/7/2025 0:00,100524694,43748441,43.5
3/8/2025 0:00,86449210,38420285,44.4
3/9/2025 0:00,81766708,35153207,43
3/10/2025 0:00,86579087,37344367,43.1
3/11/2025 0:00,84062986,35752741,42.5
3/12/2025 0:00,88042847,37637554,42.7
3/13/2025 0:00,85709297,36944672,43.1
3/14/2025 0:00,85830040,35915789,41.8
3/15/2025 0:00,83303350,40480443,48.6
3/16/2025 0:00,77626218,32409207,41.8
3/17/2025 0:00,89671685,36235684,40.4
3/18/2025 0:00,92218817,39061273,42.4
3/19/2025 0:00,92016773,40313509,43.8
3/20/2025 0:00,81439687,33916301,41.6
3/21/2025 0:00,77122626,33313911,43.2
3/22/2025 0:00,72187044,25158145,34.9
3/23/2025 0:00,79867494,33056215,41.4
3/24/2025 0:00,92993939,39575434,42.6
3/25/2025 0:00,87639135,37043399,42.3
3/26/2025 0:00,87899672,40725508,46.3
3/27/2025 0:00,89682974,42274775,47.1
3/28/2025 0:00,92008220,42692212,46.4
3/29/2025 0:00,92704792,45280447,48.8
3/30/2025 0:00,85843175,38008437,44.3
3/31/2025 0:00,87780149,40274858,45.9
4/1/2025 0:00,91440743,44171004,48.3
4/2/2025 0:00,89130030,41547194,46.6
4/3/2025 0:00,89908399,42006932,46.7
4/4/2025 0:00,83326056,34976499,42
4/5/2025 0:00,83147370,36874977,44.3
4/6/2025 0:00,77345261,34074109,44.1
